Distance,Speed
0.43764104618631516,223
3.718362591254568,225
4.428333333333335,229
17.48388888888889,235
31.427658502754824,238
36.22833333333334,241
40.92306149038103,244
55.43944444444445,247
64.40754954935626,249
72.10305555555556,251
84.08288794057997,252
86.21416666666667,254
97.68083333333335,258
99.84822963918515,259
123.24481933625965,261
123.98083333333335,263
138.75861111111115,266
139.57612559780222,267
153.02758883818558,268
153.70305555555558,269
169.61326150059503,270
174.85861111111112,272
184.88361142765797,274
193.25861111111112,276
205.56972222222225,277
207.9623659178655,278
221.1472222222222,279
234.48055941191907,281
243.15833333333333,283
251.85846413756548,284
255.825,285
269.35073887044626,285
274.825,285
284.73783361392327,277
295.825,270
296.5533198654399,262
307.1583333333333,255
322.13441656137763,235
323.8805555555555,215
334.7694444444444,196
336.26863248430635,188
343.1869662797552,180
355.79166666666663,172
357.14759343757873,170
363.25833333333327,168
372.3138888888888,163
374.51101080757957,162
377.1950293135016,161
381.2027777777777,160
387.5544614315123,156
391.4027777777777,153
399.48655092721117,153
408.13636273495104,154
410.3472222222221,155
416.8256106649231,156
419.06944444444434,157
424.83092766696217,159
429.86944444444435,162
433.9531235403016,164
439.1472222222221,167
443.4374912116584,171
446.9249999999999,175
451.3620147931526,178
459.0583333333332,182
467.45833333333326,189
469.0133477275421,191
475.5609566370324,193
476.1149999999999,196
489.14364947811583,200
489.7149999999999,204
503.5149999999999,207
515.4038888888888,214
516.0128708113407,217
527.2937275729627,220
534.9190884899365,223
535.4927777777777,226
548.326111111111,231
551.6397466317216,233
564.8046818417631,235
569.3927777777777,237
576.8168173857379,239
588.2149999999999,242
595.7569357807187,243
608.0726548658848,244
612.8833333333333,246
631.5391619454563,247
640.5500000000001,249
645.4046908680037,249
654.4388888888889,250
665.6388888888889,252
666.3438772789361,253
673.3597865761017,255
687.7147113763348,256
697.1722222222222,258
709.4172954498841,259
711.6722222222223,261
735.138888888889,264
735.8039692245802,265
749.1540901023558,266
752.9388888888889,267
764.8055555555555,267
765.4738419481907,267
781.8512613342599,267
782.6722222222222,268
805.8133090626736,269
818.6722222222222,270
822.3626319512616,270
843.5031125107205,271
851.9166666666666,272
855.6373396709773,272
876.9564574913957,273
882.3611111111111,274
894.5388888888889,274
895.2252334323558,274
906.7611111111112,275
913.5586081492811,275
918.9833333333335,275
931.922142405001,275
937.3833333333334,276
944.2574399164149,277
959.0058333333334,279
969.114491726794,279
971.4502777777778,280
983.9391666666668,281
984.7226995248893,282
1003.7200541395463,283
1009.1836111111111,284
1027.5265800122916,285
1031.4280555555556,286
1051.4810241842804,287
1057.0280555555555,288
1078.9824528203994,290
1089.553611111111,292
1091.9934406209802,292
1112.3425,293
1119.6864487241126,293
1128.6758333333332,294
1147.5147848050703,294
1151.6202777777778,295
1160.6664983135256,296
1181.3202777777778,297
1182.0671275004374,298
1202.062492090824,299
1211.3202777777778,300
1227.9869444444444,300
1228.7376980315241,300
1241.364722222222,301
1243.80325118242,301
1258.9422734550196,301
1261.4980555555555,302
1293.2272852953317,290
1295.4758333333334,278
1307.329471457156,261
1314.5313888888888,245
1322.1650857753275,225
1328.2647222222222,206
1338.4869444444444,184
1342.7029741409751,174
1349.4869444444444,165
1351.629532048786,161
